day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
194,295,20.3,-9.34,-14.41,-33.55,-409.59,-22.04,622.4,-68.7,1.66,-32.82,-216.56,-17.42,13.25,-89.0,0.0,-190.78
195,295,20.75,-6.08,-14.02,-33.97,-409.9,-22.07,622.95,-68.81,1.64,-32.77,-216.69,-17.42,13.19,-89.03,0.0,-190.99
196,295,20.32,-5.95,-14.19,-33.91,-410.16,-22.41,623.77,-68.8,1.63,-32.83,-216.82,-17.41,13.14,-89.06,0.0,-191.2
197,295,20.73,-7.63,-13.78,-33.97,-409.79,-22.29,623.98,-68.89,1.7,-32.53,-216.78,-17.41,13.22,-89.07,0.0,-191.9
198,295,20.83,-8.7,-13.8,-33.97,-409.41,-23.69,624.96,-68.86,1.78,-32.52,-216.66,-17.41,13.41,-89.16,0.0,-191.86
199,295,20.42,-7.0,-13.91,-33.97,-410.43,-23.43,626.5,-69.05,1.76,-32.65,-217.02,-17.4,13.38,-89.44,0.0,-192.65
200,295,20.88,-6.66,-13.42,-33.51,-410.45,-24.37,627.9,-69.14,1.77,-32.48,-217.15,-17.43,13.46,-89.48,0.0,-193.08
201,295,21.62,-9.13,-12.8,-33.68,-410.33,-24.79,628.39,-69.23,1.84,-32.27,-217.22,-17.43,13.47,-89.49,0.0,-193.27
202,295,21.68,-8.46,-12.68,-33.86,-409.87,-24.81,627.96,-69.2,1.86,-32.07,-216.97,-17.42,13.52,-89.57,0.0,-193.29
203,295,21.67,-8.14,-12.75,-34.32,-409.91,-25.78,628.97,-69.29,1.86,-32.22,-216.85,-17.41,13.61,-89.59,0.0,-193.29
204,295,21.42,-8.24,-12.77,-34.32,-410.37,-26.32,630.26,-69.14,1.84,-31.91,-216.66,-17.41,13.45,-90.53,0.0,-193.58
