day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
251,351,27.69,-4.68,-9.35,-34.5,-452.99,-24.35,709.79,-77.66,2.0,-33.47,-236.49,-18.62,13.76,-102.51,0.0,-232.45
252,351,27.15,-7.78,-9.66,-35.48,-453.55,-24.82,711.31,-77.87,2.01,-33.49,-236.69,-18.65,13.81,-102.67,0.0,-232.93
253,351,27.34,-9.18,-9.63,-35.7,-453.58,-24.3,711.07,-77.95,1.99,-33.61,-236.53,-18.67,13.88,-102.69,0.0,-233.19
254,351,26.77,-10.0,-10.07,-35.45,-453.7,-24.63,711.6,-78.05,2.0,-33.74,-236.42,-18.71,13.95,-102.72,0.0,-233.27
255,351,26.23,-8.56,-10.43,-35.68,-453.89,-24.74,712.0,-78.07,1.99,-33.82,-236.51,-18.72,13.97,-102.73,0.0,-233.37
256,351,26.55,-10.12,-10.12,-34.86,-454.56,-24.52,712.54,-78.22,2.03,-34.09,-236.72,-18.71,13.92,-102.76,0.0,-233.46
257,351,26.56,-9.5,-9.92,-35.42,-454.94,-25.02,713.64,-78.49,2.02,-34.12,-236.88,-18.71,14.06,-102.81,0.0,-233.68
258,351,26.33,-10.0,-10.08,-35.04,-455.64,-25.12,714.56,-78.29,2.02,-34.51,-237.31,-18.75,14.18,-102.99,0.0,-233.8
259,351,26.47,-10.31,-9.75,-35.0,-456.42,-25.16,715.59,-78.37,1.94,-34.79,-237.44,-18.76,14.11,-103.11,0.0,-234.01
260,350,27.04,-7.18,-9.12,-35.53,-456.72,-24.51,716.71,-78.52,1.94,-35.01,-236.97,-18.84,14.08,-103.4,0.0,-235.48
261,349,27.62,-7.87,-8.8,-35.97,-456.1,-23.95,715.48,-78.24,1.95,-34.98,-237.27,-18.92,14.23,-102.89,0.0,-235.43
262,349,26.71,-10.33,-9.56,-35.87,-456.79,-24.38,716.65,-78.15,1.9,-35.33,-237.54,-18.93,14.23,-102.97,0.0,-235.49
263,349,26.52,-10.43,-9.89,-35.7,-457.16,-23.88,716.56,-78.01,1.9,-35.63,-237.52,-18.97,14.07,-103.0,0.0,-235.52
264,349,26.22,-10.0,-9.98,-36.75,-457.4,-24.81,717.81,-77.99,1.87,-35.76,-237.45,-19.01,13.96,-103.02,0.0,-235.6
265,348,26.15,-9.56,-9.82,-37.15,-458.32,-25.04,719.85,-78.31,1.92,-35.77,-237.74,-19.08,13.99,-103.32,0.0,-236.5
266,348,25.78,-10.42,-9.85,-37.47,-458.8,-25.01,720.58,-78.55,1.9,-35.75,-237.69,-19.11,13.97,-103.56,0.0,-236.78
267,348,26.03,-10.35,-9.7,-37.3,-458.87,-24.74,720.59,-78.42,1.92,-35.89,-237.73,-19.13,13.99,-103.6,0.0,-236.98
268,348,25.5,-9.95,-10.03,-37.0,-458.85,-25.45,721.58,-78.42,1.89,-35.88,-237.78,-19.15,14.11,-103.61,0.0,-237.29
269,348,25.42,-9.88,-10.12,-36.54,-458.58,-24.8,720.61,-78.32,1.84,-35.57,-237.63,-19.15,14.11,-103.87,0.0,-237.22
270,348,25.19,-10.4,-10.35,-37.43,-458.07,-25.66,720.96,-78.38,1.82,-35.23,-237.41,-19.16,14.19,-103.89,0.0,-237.23
271,347,25.22,-9.09,-10.01,-37.92,-457.22,-26.76,718.83,-78.79,1.83,-34.58,-237.37,-19.21,14.74,-103.83,0.0,-234.85
272,347,24.89,-8.89,-10.16,-37.8,-457.32,-27.35,719.59,-78.86,1.88,-34.63,-237.31,-19.21,14.69,-103.88,0.0,-234.92
273,347,24.52,-5.53,-10.26,-37.86,-457.22,-26.57,718.79,-78.79,1.94,-34.66,-237.29,-19.2,14.69,-103.91,0.0,-235.01
274,346,23.96,-6.54,-10.74,-37.25,-457.38,-28.05,720.38,-78.88,1.94,-34.19,-237.45,-19.24,14.61,-104.17,0.0,-234.95
275,345,24.46,-8.46,-10.36,-37.95,-456.03,-25.53,716.82,-78.4,1.88,-33.96,-237.64,-19.3,14.67,-103.28,0.0,-235.26
276,345,24.06,-9.84,-10.59,-38.32,-454.85,-27.69,718.0,-78.43,2.01,-33.74,-237.42,-19.3,15.31,-103.28,0.0,-235.46
277,345,23.63,-10.8,-10.71,-38.69,-454.4,-27.7,717.63,-78.33,2.07,-33.84,-237.4,-19.3,15.68,-103.28,0.0,-235.54
278,345,23.81,-11.2,-10.51,-39.47,-453.98,-28.51,717.93,-78.2,2.17,-34.02,-237.25,-19.3,15.92,-103.29,0.0,-235.45
279,345,23.97,-11.3,-10.41,-39.13,-453.44,-27.73,716.95,-78.27,2.26,-34.2,-237.27,-19.3,16.64,-103.29,0.0,-235.78
280,344,23.02,-12.68,-11.08,-38.87,-450.93,-28.06,714.61,-77.12,2.31,-33.85,-237.67,-19.22,16.99,-102.38,0.0,-235.62
281,342,23.85,-13.48,-10.28,-38.74,-448.57,-26.99,712.57,-77.27,2.56,-33.12,-238.13,-18.62,17.95,-101.93,0.0,-237.01
282,341,23.41,-12.29,-10.47,-39.82,-447.31,-28.92,713.22,-76.89,2.6,-33.05,-238.09,-18.69,18.74,-101.92,0.0,-236.99
283,341,23.23,-12.2,-10.59,-39.07,-446.76,-27.07,711.07,-76.79,2.58,-32.99,-238.06,-18.69,19.2,-102.0,0.0,-237.24
284,341,22.47,-14.18,-11.09,-39.74,-446.76,-26.47,710.43,-76.75,2.6,-33.26,-238.01,-18.69,19.41,-102.05,0.0,-237.2
285,341,22.78,-13.06,-10.7,-39.18,-447.23,-26.41,711.01,-76.7,2.58,-33.45,-238.07,-18.7,19.27,-102.16,0.0,-237.36
286,341,22.55,-14.0,-11.04,-39.03,-448.79,-23.36,709.77,-76.89,2.51,-33.52,-238.21,-18.68,19.21,-103.2,0.0,-237.62
287,340,23.21,-14.83,-10.89,-38.6,-449.36,-23.37,710.91,-77.12,2.56,-33.61,-238.68,-18.74,19.19,-102.96,0.0,-238.18
